id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
UCHL1-AS1,54.0,60.0,94.0,73.0,52.0
UCHL1,40890.0,20082.0,35255.0,28072.0,36568.0
LIMCH1,13392.0,12648.0,12504.0,9534.0,8467.0
AC108050.1,10.0,11.0,15.0,9.0,8.0
AC105389.2,8.0,7.0,7.0,10.0,3.0
PHOX2B,0.0,0.0,16.0,0.0,0.0
AC105389.3,1.0,2.0,7.0,1.0,2.0
AC105389.1,0.0,0.0,0.0,0.0,0.0
LINC00682,1.0,0.0,16.0,1.0,0.0
AC108210.1,36.0,35.0,38.0,33.0,58.0
TMEM33,4055.0,3671.0,4409.0,4044.0,3903.0
DCAF4L1,24.0,30.0,50.0,67.0,8.0
AC106052.1,69.0,32.0,35.0,51.0,40.0
SLC30A9,6906.0,6310.0,7445.0,7274.0,7420.0
BEND4,349.0,496.0,320.0,319.0,355.0
AC111006.1,102.0,124.0,87.0,85.0,124.0
AC024022.1,79.0,18.0,72.0,9.0,6.0
SHISA3,5.0,3.0,4.0,4.0,3.0
ATP8A1,8732.0,7999.0,7591.0,9309.0,5669.0
AC096734.2,1.0,2.0,2.0,1.0,3.0
AC096734.1,0.0,0.0,0.0,0.0,2.0
GRXCR1,6.0,7.0,4.0,8.0,3.0
AC111198.1,1.0,2.0,1.0,4.0,0.0
AC097451.1,0.0,0.0,0.0,0.0,0.0
LINC02383,0.0,1.0,0.0,0.0,0.0
AC080132.1,102.0,36.0,107.0,68.0,100.0
AC114757.1,4.0,5.0,9.0,2.0,10.0
LINC02475,0.0,0.0,6.0,0.0,2.0
KCTD8,1812.0,3074.0,2891.0,1371.0,1641.0
YIPF7,265.0,291.0,344.0,341.0,196.0
GUF1,1313.0,1459.0,1398.0,1303.0,1368.0
GNPDA2,1767.0,1920.0,1799.0,1723.0,1554.0
AC096586.2,21.0,18.0,19.0,28.0,16.0
AC096586.1,44.0,44.0,74.0,45.0,82.0
AC108467.1,23.0,7.0,40.0,9.0,1.0
GABRG1,115.0,22.0,210.0,123.0,36.0
AC104072.1,59.0,55.0,74.0,95.0,55.0
GABRA2,2359.0,1949.0,3231.0,3984.0,2390.0
AC095060.1,9.0,17.0,22.0,40.0,15.0
COX7B2,10.0,16.0,9.0,16.0,11.0
GABRA4,228.0,270.0,393.0,22.0,124.0
GABRB1,1790.0,1636.0,2586.0,3295.0,1038.0
AC107398.3,149.0,145.0,226.0,320.0,79.0
COMMD8,2013.0,1937.0,2149.0,1673.0,1263.0
AC107398.4,4.0,4.0,7.0,5.0,2.0
AC107398.5,12.0,12.0,10.0,12.0,12.0
ATP10D,854.0,777.0,1013.0,1033.0,735.0
AC107398.2,6.0,1.0,5.0,2.0,5.0
CORIN,175.0,296.0,338.0,418.0,80.0
AC107068.2,871.0,1211.0,1247.0,1196.0,914.0
AC107068.1,173.0,169.0,205.0,270.0,152.0
NFXL1,1852.0,1975.0,2098.0,2447.0,1860.0
NIPAL1,115.0,305.0,242.0,255.0,396.0
CNGA1,23.0,85.0,71.0,50.0,84.0
TXK,9.0,10.0,11.0,0.0,6.0
TEC,35.0,22.0,39.0,15.0,12.0
SLAIN2,3702.0,4641.0,4085.0,4386.0,4675.0
SLC10A4,59.0,85.0,226.0,65.0,396.0
ZAR1,1.0,4.0,3.0,1.0,4.0
FRYL,12934.0,11894.0,13009.0,13361.0,12614.0
OCIAD1,15736.0,15234.0,16129.0,15053.0,14961.0
OCIAD1-AS1,214.0,315.0,255.0,295.0,217.0
OCIAD2,10261.0,8953.0,10257.0,7596.0,9165.0
CWH43,1.0,1.0,1.0,2.0,0.0
DCUN1D4,5226.0,6275.0,4680.0,5475.0,6032.0
AC027271.1,34.0,37.0,27.0,41.0,80.0
LRRC66,97.0,149.0,118.0,103.0,94.0
SGCB,3504.0,3172.0,3834.0,3229.0,3488.0
LINC02480,0.0,0.0,0.0,0.0,0.0
SPATA18,201.0,68.0,167.0,168.0,142.0
