"","res_list.IN_2.pvalue","res_list.IN_1.pvalue","res_list.IN.pvalue","res_list.nIN_1.pvalue","res_list.nIN.pvalue","res_list.nEN_1.pvalue","res_list.nEN.pvalue","res_list.IPC.pvalue","res_list.MGE.pvalue","res_list.RG.pvalue","Mean"
"PUSL1",0.446294630679884,0.248959673988269,0.564405511797446,0.0698557399512862,0.068325191914044,0.669685671699618,0.402260512641849,0.802574061296205,0.2283554170603,0.450477357305662,0.395119376833456
"INTS11",0.40700366849104,0.0400664661523622,0.911025429536859,0.0914024885609474,0.415973747244784,0.769069586739143,0.439405028029314,0.0359785410250422,0.773670201102458,0.873188477931152,0.47567836348131
"CPTP",0.189416568193971,0.31510201752937,0.907773178120107,0.657116780195775,0.270897675375109,0.688810543913663,0.529491392988998,0.426827452244589,0.260357210716254,0.630065718470122,0.487585853774796
"DVL1",0.770511401758235,0.790233771159813,0.840583191352912,0.250700903840638,0.642094227777321,0.960031432046767,0.253437347938849,0.0659736716848608,0.556858502811952,0.902381486562523,0.603280593693387
"AURKAIP1",0.842963287260586,0.792560620350582,0.211970966127296,0.535996571922133,0.673402185330697,0.466629360470052,0.126025659000694,0.336418971366443,0.155116058560715,0.225018212383908,0.43661018927731
"CCNL2",0.879766129913656,0.997798473242984,0.822118780770499,0.568852270836976,0.815129839887385,0.827549000560608,0.846339356598636,0.181116000398775,0.803244199688137,0.481096519169037,0.722301057106669
"MRPL20-AS1",0.54656177403746,0.649331341788897,0.558779924756927,0.608398691147535,0.289764243613199,0.596100512745471,0.269689671094259,0.894902419563421,0.520816496718274,0.29397461145331,0.522831968691875
"MRPL20",0.408425315795991,0.275890340622875,0.222357804573854,0.971051255805375,0.698020110067709,0.989503646461247,0.638487946243891,0.23575402604452,0.7104585630757,0.222764238585506,0.537271324727667
"ATAD3B",0.688195391407187,0.578611501101304,0.10681480265285,0.782832835028726,0.833779565012781,0.862745490201351,0.8815310222515,0.852949068840033,0.761533910766986,0.600817701305356,0.694981128856807
"ATAD3A",0.711943661022778,0.937667225885242,0.378022324964847,0.528421785522591,0.925250456176124,0.939342860348622,0.84519365974172,0.368190192031678,0.682429924938263,0.49882402783163,0.681528611846349
"TMEM240",0.543052977561687,0.722112419450583,0.34015026625423,0.262744549741418,0.407294900189518,0.878955170121732,0.844825260600641,0.177381893435312,0.273727205750127,0.517361426288997,0.496760606939424
"SSU72",0.376318727451526,0.910369069739181,0.219869573775324,0.84127733354014,0.260406249215454,0.361432623907661,0.416231717253846,0.510107286558143,0.116969879946523,0.0594777355763825,0.407246019696418
"AL645728.1",0.817335700713275,0.608843902117362,0.0231248526843498,0.799467436021672,0.454902626925302,0.882310007827269,0.542528984291211,0.947112279786928,0.36156616095205,0.703221119185088,0.614041307050451
"AL691432.2",0.293496107248782,0.627418694323386,0.830465028767691,0.316043071796351,0.607211318613483,0.996456006641267,0.759845492108915,0.877072672414557,0.884324428785361,0.671729019891713,0.68640618405915
"MIB2",0.768439092671552,0.848864609390216,0.469314907831004,0.906532647198714,0.838295061695643,0.962236099285118,0.832560762207445,0.706753832144406,0.425219321936191,0.909797284858237,0.766801361921853
"CDK11B",0.296859432356622,0.869590158744809,0.0166574511902786,0.865074199303031,0.665215003426479,0.582519923342292,0.411267834267755,0.5763794881511,0.85024774289671,0.937361872545628,0.60711731062247
"SLC35E2B",0.392313790627502,0.194272342883579,0.229638103056783,0.256623695131817,0.0565750277576635,0.346189080867379,0.105435436885857,0.943008180671856,0.371697535616003,0.154717120365227,0.305047031386367
"CDK11A",0.148216870413904,0.399267184505696,0.222935244783195,0.908646473285201,0.962076228162255,0.0870554658378063,0.205636067016644,0.546447459656054,0.234232274973637,0.189459445021321,0.390397271365571
"SLC35E2A",0.799114504070061,0.427650701696769,0.915546709263745,0.770944045883548,0.883470430115911,0.86724796021603,0.611797180043246,0.455070965102628,0.2260581113022,0.454354878830465,0.64112554865246
"NADK",0.508294881002876,0.236668433636131,0.481872389326152,0.993846922217725,0.97247886451654,0.484853429302404,0.85590526358585,0.989515496343171,0.840113335528148,0.717407279104189,0.708095629456319
"GNB1",0.680150598466158,0.630540516835352,0.732431750394882,0.374207884692705,0.656254349413842,0.681989880274666,0.740716563107151,0.816122045450024,0.16895429342445,0.619142887610312,0.610051076966954
"PRKCZ",0.0326736018987128,0.882465825615828,0.433922197239926,0.053532642996654,0.409653426658156,0.761563532665523,0.665954520452803,0.22713212444769,5.63493103473619e-05,0.842193823469541,0.430914804475518
"FAAP20",0.198194428421928,0.277987581281334,0.967539579496126,0.594629137125083,0.362457449737725,0.395729297246144,0.641731933439485,0.98455827379166,0.875014825652011,0.311803111021717,0.560964561721321
"SKI",0.556771655705103,0.37136222795052,0.631746699295856,0.980326991314686,0.289157563144302,0.371958114771423,0.658034322728603,0.740785605670613,0.414581801740039,0.951500563050932,0.596622554537208
"MORN1",0.241680416175436,0.595395976941442,0.716289748852036,0.617781086574874,0.462425819899586,0.859406804443126,0.286261702521581,0.549805147430722,0.981479741027527,0.759371964909502,0.606989840877583
"RER1",0.408833596613416,0.719147476068873,0.900369604493925,0.565223854491757,0.732857914920281,0.856891273470302,0.693924841615076,0.955969238217526,0.745921231760268,0.465640056505242,0.704477908815667
"PEX10",0.407440751432928,0.743973542671535,0.850642390954688,0.125640486956941,0.965868031607142,0.468564123687146,0.194758378832011,0.809438589284323,0.200134951622582,0.671916867781861,0.543837811483116
"PANK4",0.747032710287683,0.980656563930415,0.844049679074686,0.894708833595461,0.382737087732005,0.770877793198046,0.676458348950712,0.0921005481712719,0.741789631819266,0.683631617614502,0.681404281437405
"HES5",0.283897987746918,0.228011211251781,0.289627506709209,0.906444811934774,0.843505021707453,0.17461655665826,0.135201692170145,0.804947566062275,0.90768286982904,0.335584767360585,0.490951999143044
"AL139246.5",0.283376092215924,0.0331663928108696,0.10240192339682,0.0738256047209991,0.783386523530596,0.298214298828952,0.847595487540812,0.341025268533529,0.793511895538575,0.331828393842864,0.388833188095994
"PRXL2B",0.365170758225198,0.449208559747541,0.239482997850729,0.680848822667687,0.243839634289875,0.601475221518428,0.808333785224665,0.604236722943132,0.379349767516517,0.735129117193542,0.510707538717731
