"","res_list.IN_2.padj","res_list.IN_1.padj","res_list.IN.padj","res_list.nIN_1.padj","res_list.nIN.padj","res_list.nEN_1.padj","res_list.nEN.padj","res_list.IPC.padj","res_list.MGE.padj","res_list.RG.padj","Mean"
"BICRA",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.973764585032627,0.999989100947748,0.996060115454644
"BICRA-AS1",0.999779935325884,NA,0.999533675599976,NA,1,0.975752013766859,0.999861033220845,1,0.989312083925187,NA,0.994891248834107
"NOP53",0.999779935325884,0.998920040238942,0.999533675599976,0.705526863717678,1,0.995552593510072,0.999861033220845,1,0.48484390176053,0.625388375127223,0.880940641850115
"SELENOW",0.999779935325884,0.998920040238942,0.999533675599976,0.943201211100893,1,0.995552593510072,0.999861033220845,1,0.156852067207619,0.999989100947748,0.909368965715198
"PLA2G4C",0.999779935325884,NA,0.919337158206665,NA,1,1,0.999861033220845,1,0.980011786227861,0.611056231240279,0.938755768027692
"LIG1",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.781507150900274,0.999989100947748,0.9720279361881
"AC011466.3",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,NA,NA,0.998989460466179
"ZSWIM9",0.999779935325884,NA,0.999533675599976,NA,1,0.986551437519808,0.999861033220845,1,0.895518707818668,0.999989100947748,0.985154236304116
"CARD8",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.99023514085826,0.999989100947748,0.998118934932848
"ZNF114",NA,NA,0.890957837087452,NA,1,0.995552593510072,0.999861033220845,1,NA,NA,0.977274292763674
"EMP3",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.901178780054873,0.999989100947748,0.987542815643666
"TMEM143",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.954931906259269,NA,0.992808449130864
"KDELR1",0.999779935325884,0.998920040238942,0.999533675599976,0.88637364487638,1,0.995552593510072,0.999861033220845,1,0.980474584866886,0.999989100947748,0.986048460858673
