source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
STAT5B,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CD70,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
IL27,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
TGFB1,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
IL4,FOXP3,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
RUNX1,CTBP2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
SIX3,DLX2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
ROCK1,CTBP2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
GLB1,USF1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
LRRC32,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
AR,TCF12,True,False,False,False,False,False,1,HTRIdb:20610535,DoRothEA;HTRIdb;ReMap_DoRothEA,transcriptional,20610535,1,3,2
CEBPB,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
CTCF,RAD21,True,False,False,False,False,False,1,,ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
CTCF,TCF12,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;ENCODE-distal;PAZAR_DoRothEA,transcriptional,,,3,1
E2F1,CTBP2,True,False,False,False,False,False,0,,HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,0
E2F4,RAD21,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,17531812,1,4,2
E2F4,SUZ12,True,False,False,False,False,False,1,HTRIdb:17531812,DoRothEA;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,17531812,1,5,2
ESR1,CTBP2,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
FOS,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
FOXA1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
FOXP1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
GATA1,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
GATA2,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,3,1
GATA3,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
IRF1,FOXP3,True,False,True,True,False,True,0,,IntAct_DoRothEA;TRRUST_DoRothEA,transcriptional,,,2,0
JUN,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
JUNB,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
JUND,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
MAFK,TCF12,True,False,False,False,False,False,0,,ENCODE-distal;ReMap_DoRothEA,transcriptional,,,2,1
MXI1,CTBP2,True,False,False,False,False,False,0,,ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,4,0
MYC,TCF12,True,False,False,False,False,False,2,DoRothEA:12695333;HTRIdb:12695333,DoRothEA;ENCODE-distal;HTRIdb;HTRIdb_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,12695333,1,7,3
NFATC2,FOXP3,True,True,False,False,False,False,0,,HOCOMOCO_DoRothEA;IntAct_DoRothEA;TRRUST_DoRothEA,transcriptional,,,3,0
PRDM14,MSX1,True,False,False,False,False,False,1,PAZAR:20953172,DoRothEA;HOCOMOCO_DoRothEA;PAZAR;PAZAR_DoRothEA,transcriptional,20953172,1,4,2
RUNX1,TCF12,True,False,False,False,False,False,0,,PAZAR_DoRothEA;ReMap_DoRothEA,transcriptional,,,2,0
