source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
PRKACA,TP53,True,True,False,True,True,False,13,HPRD:1454855;HPRD:9571186;HPRD:9935181;KEA:1454855;KEA:9315650;KEA:9571186;PhosphoSite:15659650;PhosphoSite:18812399;PhosphoSite:19933256;ProtMapper:9571186;SIGNOR:9571186;iPTMnet:1454855;iPTMnet:9571186,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,1454855;15659650;18812399;19933256;9315650;9571186;9935181,7,16,8
PRKACA,ESR1,True,True,True,True,True,False,9,HPRD:9891036;PhosphoSite:22266331;PhosphoSite:9891036;ProtMapper:15193262;ProtMapper:9891036;SIGNOR:15193262;SIGNOR:9891036;iPTMnet:15193262;iPTMnet:9891036,HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,15193262;22266331;9891036,3,12,7
PRKACA,HMGN1,True,False,True,True,False,True,20,HPRD-phos:10739259;HPRD-phos:11438671;HPRD-phos:12773393;HPRD-phos:17924679;HPRD-phos:20068231;HPRD-phos:20166139;HPRD:10739259;HPRD:11438671;HPRD:12773393;KEA:10739259;KEA:11438671;KEA:12773393;ProtMapper:11438671;SIGNOR:11438671;iPTMnet:10739259;iPTMnet:11438671;iPTMnet:12773393;iPTMnet:17924679;iPTMnet:20068231;iPTMnet:20166139,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,10739259;11438671;12773393;17924679;20068231;20166139,6,14,8
CDK2,BRCA1,True,True,False,True,True,False,15,BioGRID:8764100;HPRD-phos:10373534;HPRD:10373534;KEA:10373534;KEA:10550055;ProtMapper:10550055;ProtMapper:15212693;ProtMapper:19683496;ProtMapper:26719576;SIGNOR:10550055;SIGNOR:19683496;iPTMnet:10373534;iPTMnet:10550055;iPTMnet:19683496;phosphoELM:10373534,BEL-Large-Corpus_ProtMapper;BioGRID;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;Kinexus_KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10373534;10550055;15212693;19683496;26719576;8764100,6,23,11
CDK2,RUNX1,True,True,True,True,True,True,8,KEA:17570479;ProtMapper:16046550;ProtMapper:17015473;ProtMapper:25914884;SIGNOR:16046550;SIGNOR:17015473;iPTMnet:16046550;iPTMnet:17015473,HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoSite_MIMP;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,16046550;17015473;17570479;25914884,4,12,5
MAPK3,ESR1,True,True,False,True,True,False,21,HPRD:12118371;KEA:10949034;KEA:12093745;KEA:12118371;KEA:15059947;KEA:15461668;KEA:15528270;KEA:16076840;KEA:7491495;KEA:7838153;KEA:9528769;ProtMapper:14680484;ProtMapper:15212693;ProtMapper:17615152;ProtMapper:18372406;SIGNOR:17615152;SIGNOR:18372406;iPTMnet:17615152;iPTMnet:18372406;iPTMnet:7491495;phosphoELM:7491495,BEL-Large-Corpus_ProtMapper;HPRD;HPRD_MIMP;KEA;KEGG-MEDICUS;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10949034;12093745;12118371;14680484;15059947;15212693;15461668;15528270;16076840;17615152;18372406;7491495;7838153;9528769,14,19,11
TP53,MAPK3,True,False,True,False,False,False,2,HPRD:10958792;InnateDB:10958792,HPRD;InnateDB;Wang,post_translational,10958792,1,3,3
MAPK3,TP53,True,True,False,True,True,False,17,HPRD:10958792;InnateDB:10958792;PhosphoSite:10348343;PhosphoSite:10747897;PhosphoSite:11239457;PhosphoSite:12393879;PhosphoSite:17237827;PhosphoSite:18523266;PhosphoSite:24194938;PhosphoSite:25767119;PhosphoSite:28937686;PhosphoSite:9467949;PhosphoSite:9739174;ProtMapper:12955074;SIGNOR:12955074;iPTMnet:10781582;iPTMnet:12955074,HPRD;HPRD_MIMP;InnateDB;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP,post_translational,10348343;10747897;10781582;10958792;11239457;12393879;12955074;17237827;18523266;24194938;25767119;28937686;9467949;9739174,14,13,8
GSK3B,TP53,True,True,True,True,True,False,24,ELM:11483158;HPRD-phos:11483158;HPRD-phos:12064478;HPRD:11483158;HPRD:12048243;HPRD:12064478;IntAct:14744935;IntAct:21900206;KEA:11483158;KEA:11709713;KEA:12064478;KEA:16552184;KEA:17570479;KEA:9372954;Lit-BM-17:12048243;Lit-BM-17:14744935;Lit-BM-17:21900206;ProtMapper:11483158;ProtMapper:14744935;ProtMapper:21929745;ProtMapper:23840442;SIGNOR:11483158;iPTMnet:11483158;iPTMnet:12064478,ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetworKIN_KEA;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP,post_translational,11483158;11709713;12048243;12064478;14744935;16552184;17570479;21900206;21929745;23840442;9372954,11,24,12
CDK6,RUNX1,True,True,True,True,True,False,18,HPRD:17431401;IntAct:17431401;IntAct:25241761;Lit-BM-17:17431401;Lit-BM-17:25241761;PhosphoSite:15475366;PhosphoSite:16046550;PhosphoSite:17015473;PhosphoSite:17023045;PhosphoSite:18261462;PhosphoSite:20478528;PhosphoSite:22531928;ProtMapper:16046550;ProtMapper:21059642;SIGNOR:16046550;SIGNOR:21059642;iPTMnet:16046550;iPTMnet:21059642,HPRD;HPRD_MIMP;IntAct;Lit-BM-17;MIMP;PhosphoSite;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet,post_translational,15475366;16046550;17015473;17023045;17431401;18261462;20478528;21059642;22531928;25241761,10,12,9
