Gene,C,Z,Pval,FDR
LHX5-AS1,0.5242757617406254,625.4810774603877,0.0,0.0
GAD2,0.6329582861341903,621.3201355555758,0.0,0.0
RSPO3,0.7043440248644687,616.7187374482926,0.0,0.0
MPPED2,0.6077392056691575,613.0262728209385,0.0,0.0
TUBB,0.5982160507570514,612.3724868050491,0.0,0.0
SOX4,0.6657614564175687,608.939401110422,0.0,0.0
BCL11B,0.631500603757591,606.8519454900935,0.0,0.0
AL008638.1,0.1658340450192494,605.5128749601057,0.0,0.0
AC125613.1,0.4924665552870334,602.8873954970833,0.0,0.0
LINC01194,0.4592354553330059,601.7948137123767,0.0,0.0
RELN,0.5325751976008106,601.0657681458459,0.0,0.0
DLX2,0.6530623717520995,600.3456336470967,0.0,0.0
GLI3,0.7255243694143496,598.6698107097893,0.0,0.0
RBFOX1,0.6651885085738678,594.8205556642429,0.0,0.0
OPCML,0.5413308325630324,593.6626536187463,0.0,0.0
ST18,0.6060334081685885,590.1570844233679,0.0,0.0
RPL13,0.6295312990118522,589.235087982733,0.0,0.0
ACTB,0.561083505589765,588.6823956979175,0.0,0.0
SLC35F3,0.5096615785560511,588.334559388776,0.0,0.0
NRG1,0.6017481856217343,584.791712456382,0.0,0.0
PTPRZ1,0.640265021273399,583.5261621041449,0.0,0.0
SFRP1,0.7096543530999846,583.5118893935708,0.0,0.0
XIST,0.5324063694236951,583.3687589523745,0.0,0.0
NTM,0.5565719011901021,582.6271129681054,0.0,0.0
CACNA2D3,0.6065801012404293,580.9338624303749,0.0,0.0
FBXL7,0.6128079951684626,575.8622865200962,0.0,0.0
AL589740.1,0.6607848000907286,575.2209176296607,0.0,0.0
RPS6,0.6758458671629504,574.3379600694057,0.0,0.0
RPLP1,0.5998135744097952,571.5244295175348,0.0,0.0
ERBB4,0.628583291779269,571.0193662542176,0.0,0.0
CLSTN2,0.4127075611839921,569.5767298908984,0.0,0.0
RPS2,0.6345165275134834,569.5048174924351,0.0,0.0
CACNA2D1,0.6000295066560555,568.0624281162795,0.0,0.0
BASP1,0.5778378504558215,567.5738942972666,0.0,0.0
DCX,0.7173896916322741,565.1565931692793,0.0,0.0
SHROOM3,0.6010662180867972,563.7029030973707,0.0,0.0
RPS24,0.5958346366346948,563.1375794786134,0.0,0.0
C1orf61,0.5812197533472313,562.944085588842,0.0,0.0
ADARB2,0.495461864840494,562.0180828717957,0.0,0.0
TPBG,0.6427259811689481,560.8945654532625,0.0,0.0
PCDH11Y,0.4246250001600895,560.6514192113148,0.0,0.0
DSCAM,0.5336112221281635,559.9444616648224,0.0,0.0
RPL18A,0.5872760487130742,559.8105253418283,0.0,0.0
IQCJ-SCHIP1,0.5903130493181312,559.4472557443661,0.0,0.0
DLGAP1,0.5240232995008817,559.2662989086875,0.0,0.0
RSPO2,0.7803730905018653,558.7449402952419,0.0,0.0
GRIA2,0.5343912091473356,558.7292890784101,0.0,0.0
H3F3A,0.5166795008405235,557.7258387255874,0.0,0.0
TLE4,0.5240349838944819,556.8153800433918,0.0,0.0
QKI,0.6099223268670834,556.6432264302217,0.0,0.0
KIRREL3,0.548811233364903,556.2111532757993,0.0,0.0
PCDH9,0.5131827377948955,551.6475219226782,0.0,0.0
RPL8,0.6017917443330842,550.8532326340079,0.0,0.0
GRIK2,0.4776241652044079,550.5339208038434,0.0,0.0
NEFM,0.4137733837096854,549.8342228142776,0.0,0.0
FAM161B,0.022351681765055698,549.2711749439824,0.0,0.0
PRTG,0.6716628146911675,549.2000015826683,0.0,0.0
TTYH1,0.6596186782071906,548.8391433095925,0.0,0.0
MEIS2,0.5712123913812532,548.5274927236566,0.0,0.0
CTNNA2,0.6026004701072654,548.2769676866186,0.0,0.0
FGFR2,0.5510074458335021,547.9188538867805,0.0,0.0
NDST3,0.5159937948505638,547.4288394515854,0.0,0.0
NRN1,0.46274169851997354,546.7497413765229,0.0,0.0
CD24,0.535917824844539,545.5382566359846,0.0,0.0
RPS15,0.5726005542432078,545.3868891590106,0.0,0.0
UNC5D,0.5386957403137764,545.3268783202204,0.0,0.0
RPL17,0.6335438944421822,545.1306261545571,0.0,0.0
ZNF804B,0.4128315431020882,544.7570140148204,0.0,0.0
MALAT1,0.404864577115395,543.4189124767067,0.0,0.0
RPS3A,0.603252170498328,543.1014934875274,0.0,0.0
GAPDH,0.562155477235017,542.2654570947113,0.0,0.0
RPS19,0.5968589294235069,541.7122116692874,0.0,0.0
RPS7,0.611531932572042,539.1873063552333,0.0,0.0
PCDH15,0.408450331613886,539.0315835557252,0.0,0.0
PTTG1,0.7991187915071786,538.481398806197,0.0,0.0
RPL10,0.5447579966348962,538.0286478597718,0.0,0.0
ZFHX4,0.6261706054981734,537.8789876126474,0.0,0.0
TUBB2A,0.5272297790702032,535.6231354589947,0.0,0.0
NRXN1,0.5524376461308806,535.3344531626108,0.0,0.0
RPS14,0.6001126694059538,532.7166004247688,0.0,0.0
LRP1B,0.40258075182490743,531.6986170025901,0.0,0.0
FAM89A,0.6225129618081865,531.1283765246748,0.0,0.0
RPL41,0.6129197498549299,531.0427569554394,0.0,0.0
GAP43,0.5419881741352264,529.3138854705574,0.0,0.0
LINC00324,0.18406016056942198,529.1178974547051,0.0,0.0
AUTS2,0.5849446842555593,528.7110764733623,0.0,0.0
NEUROG1,0.5454341259235919,527.70640710459,0.0,0.0
RPS3,0.5995179363831951,525.5240602530887,0.0,0.0
CASC15,0.5124137535198097,525.0338749943836,0.0,0.0
BARHL2,0.4338998946206758,524.9351099847773,0.0,0.0
NEUROD2,0.5354311313191649,523.910440185076,0.0,0.0
PCSK1N,0.5039559054620386,523.1011061686836,0.0,0.0
PANTR1,0.6098351375333072,523.0930629855337,0.0,0.0
RPS18,0.5873048264718908,522.5128114961103,0.0,0.0
HES5,0.5679271885221034,522.5082015758026,0.0,0.0
RUNX1T1,0.5981532553075448,521.6094295261629,0.0,0.0
LHX8,0.2761957146447656,521.0870998437259,0.0,0.0
TBR1,0.47627921491010394,520.7240206879228,0.0,0.0
SYN3,0.43862605086387557,520.3155875416086,0.0,0.0
SLC1A3,0.6051279846699453,519.3699166695453,0.0,0.0
ROBO1,0.6041568386674303,519.1814974996124,0.0,0.0
CADPS,0.5577697386744652,518.9575620242628,0.0,0.0
AC114316.1,0.4014996444396346,517.8653520873281,0.0,0.0
SOX5,0.6157336670613482,516.8462289043772,0.0,0.0
CNTNAP2,0.5357886283384283,515.7526893433414,0.0,0.0
UNC5C,0.4536570033409915,515.6748765271577,0.0,0.0
PCSK2,0.5169008452143931,515.6412591042936,0.0,0.0
RPLP0,0.5820934391065952,515.0312928157865,0.0,0.0
MYT1L,0.5929721862282933,514.8450418208422,0.0,0.0
TSHZ2,0.49970066108708044,514.8062866145601,0.0,0.0
RPL19,0.5389326606150244,514.0558381882175,0.0,0.0
RPS11,0.5337890612969257,513.9973836719092,0.0,0.0
RPL30,0.5315326066072555,512.8530635535229,0.0,0.0
H3F3B,0.4594779784718204,512.1906196664598,0.0,0.0
LSAMP,0.6030653659040577,511.9493290230795,0.0,0.0
RPS27A,0.535179389848874,510.98593623297495,0.0,0.0
NPAS3,0.5572911534906299,510.8561990732319,0.0,0.0
RPS27,0.5131360323311192,510.29000213185054,0.0,0.0
RPL7A,0.5861321815878395,510.1231791094474,0.0,0.0
DCC,0.5898948294287423,507.88398300253,0.0,0.0
RPS16,0.5410562921487612,507.5267434104387,0.0,0.0
RPL5,0.5558550452579539,507.2579106817376,0.0,0.0
KLHL29,0.4359950993037832,506.5783992511897,0.0,0.0
MIR100HG,0.4764603250426886,504.93474762335813,0.0,0.0
RPL32,0.5187347410278128,504.31766989956066,0.0,0.0
CDC20,0.7632373578939377,504.27615422636353,0.0,0.0
RPS13,0.5070732871851343,503.6187852933153,0.0,0.0
SPOCK1,0.45673881878537376,503.3948889066704,0.0,0.0
GRIK3,0.5449009706044923,503.2139496172734,0.0,0.0
EPHA6,0.5614651808180084,503.18698396414254,0.0,0.0
FOXP2,0.5284572357481312,502.6326760587209,0.0,0.0
TMSB4X,0.5353575283419244,502.44864477928263,0.0,0.0
MEIS1,0.47436092490579224,502.3578165732345,0.0,0.0
CDH18,0.400815098227345,500.79517960882873,0.0,0.0
TUBA1B,0.7739983434175167,499.54248283100634,0.0,0.0
FSTL5,0.41417197772256775,499.51960850986745,0.0,0.0
RPL6,0.547428335020001,499.45354796693556,0.0,0.0
MARCKSL1,0.45858759611801586,499.11391535273935,0.0,0.0
GRIA1,0.5182072483444881,498.82579566395856,0.0,0.0
