name,shared name,type,avgExpression
POLR2L,POLR2L,None,0.150435657036032
TUBB2B,TUBB2B,NeuroDisease,0.0124093413071586
CSTB,CSTB,HSA21gene,0.409228131112975
GABARAPL2,GABARAPL2,None,-0.0349733014316785
CALM1,CALM1,NeuroDev,-0.113666685242234
APOE,APOE,NeuroDev,-0.245074570268124
MT-CO1,MT-CO1,NeuroDev,0.215524492891654
ATP6V1F,ATP6V1F,None,-0.0294676648312935
SUMO3,SUMO3,HSA21gene,0.345752489264753
UQCRQ,UQCRQ,NeuroDev,0.0530657594276057
ATRAID,ATRAID,None,-0.447423430197902
MT-CO3,MT-CO3,None,0.116990522354309
HSPA8,HSPA8,None,-0.108381158483499
LY6H,LY6H,NeuroDev,-0.717193377243007
CLTB,CLTB,None,0.0129991271093935
LRTOMT,LRTOMT,None,-0.0759581286326097
PSAP,PSAP,NeuroDisease,0.137289394251233
CALM2,CALM2,NeuroDev,-0.0468879761118161
MRPS6,MRPS6,HSA21gene,0.520785678198831
CD81,CD81,None,-0.200125911271688
CD63,CD63,None,-0.233298505292372
TM7SF2,TM7SF2,None,-0.0683241910677218
GTF2H5,GTF2H5,NeuroDisease,-0.136860954617708
ERG28,ERG28,None,0.082830687034064
CTSD,CTSD,NeuroDisease,-0.101415526186107
ATOX1,ATOX1,None,0.0242378670827131
TMEM147,TMEM147,None,-0.103610817343853
DNPH1,DNPH1,None,-0.218489619139268
SLC22A17,SLC22A17,None,0.152073491231048
ATP5F1D,ATP5F1D,None,-0.105490171513208
MRPL18,MRPL18,None,-0.134351348922312
GABARAP,GABARAP,None,-0.059610243038324
FOLR1,FOLR1,NeuroDisease,0.0
VPS33B-DT,VPS33B-DT,None,0.0
CDO1,CDO1,None,0.152139626916396
TSTD1,TSTD1,None,0.849516359055021
ATP6V1G1,ATP6V1G1,None,-0.168515346287832
PGRMC1,PGRMC1,NeuroDev,-0.0545836608960176
NDUFA11,NDUFA11,NeuroDisease,0.0897291610640213
H3F3A,H3F3A,None,0.0372124514379307
BLVRB,BLVRB,None,-0.38621686176367
NDUFB2,NDUFB2,None,-0.040686038913757
MYL12B,MYL12B,None,-0.007332596558282
ATP5PF,ATP5PF,HSA21gene,0.524494498820617
MGST3,MGST3,None,0.157958433835191
PRDX2,PRDX2,None,-0.0353826895027582
TCTEX1D1,TCTEX1D1,None,0.0
PLD3,PLD3,None,0.133696787363797
