"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"NAV2",71.8553298203948,-6.02594320208967,1.67855781901084,-3.58995271645793,0.000330737950432793,0.00903115783082796,"NAV2"
"LINGO2",72.0776624663702,-6.02941559821005,1.64739250492846,-3.65997513049986,0.000252239728157972,0.00749016669807874,"LINGO2"
"RTN1",72.6241797152207,-6.04109084674849,1.65917347224127,-3.64102424961506,0.000271555554663905,0.007918380926381,"RTN1"
"CAMTA1",72.6505361455695,-6.04137181345497,1.65148513736692,-3.65814482780461,0.000254047485519912,0.00749016669807874,"CAMTA1"
"GAP43",72.8888924165505,-6.04567009868222,1.64964552382757,-3.66482981425903,0.000247503106535768,0.00742089822816565,"GAP43"
"CTNND2",73.018314383021,-6.04935675416881,1.68256627580563,-3.59531558498183,0.000323998575849171,0.00892408018311874,"CTNND2"
"RGS7",73.6528849191467,-6.06119642437388,1.65025294530133,-3.67288932380431,0.000239823371194214,0.00723149222118007,"RGS7"
"RPL23",73.8833009803246,-6.06572444480915,1.6488020647898,-3.67886756957844,0.000234271868997536,0.00710446176439956,"RPL23"
"RPS25",75.2543968291019,-6.09279145503857,1.65368542288461,-3.68437150785947,0.000229267644547303,0.00699266315869274,"RPS25"
"AKAP6",75.6354275886289,-6.09981958823319,1.648814630325,-3.69951811200927,0.000216009225148998,0.00682399336554084,"AKAP6"
"EEF2",75.7678230415153,-6.10250036712372,1.65012438804614,-3.69820627543691,0.000217128411770429,0.00682399336554084,"EEF2"
"ADGRL2",75.7870223559995,-6.10334900511125,1.66835640109052,-3.65830046932527,0.000253893289772248,0.00749016669807874,"ADGRL2"
"TENM3",76.8599212921577,-6.12334009628864,1.64886271019188,-3.71367492177444,0.000204271157623747,0.00661016483847089,"TENM3"
"LHX1",77.322040478437,-6.13244206277754,1.6603813943708,-3.69339362845693,0.000221281095225813,0.00686389542332674,"LHX1"
"RPLP0",77.4625260384809,-6.13476664804787,1.65051125278871,-3.71688871413785,0.000201691229332939,0.00656671996361907,"RPLP0"
"YWHAQ",77.4546269031131,-6.13481360233239,1.65806192959171,-3.69999062932652,0.00021560742804722,0.00682399336554084,"YWHAQ"
"CLASP2",77.915525998639,-6.14318757482607,1.6486377819704,-3.72622030260881,0.00019437253586562,0.00640704998657666,"CLASP2"
"SNRPN",77.9522496168112,-6.1440737962609,1.65547859926311,-3.71135803204931,0.000206150276793341,0.00663054253904401,"SNRPN"
"CALM1",78.1289236983277,-6.14689905191258,1.64678502870252,-3.73266634367914,0.000189463494508562,0.00632379097708767,"CALM1"
"DMD",78.27886137813,-6.14930872831299,1.65349630740261,-3.71897336618345,0.000200034140089768,0.0065529702559037,"DMD"
"PPP3CA",78.3884560615116,-6.15179633354219,1.64673956848537,-3.73574331440913,0.0001871615095784,0.00632379097708767,"PPP3CA"
"EBF2",78.4502602773818,-6.1535831096994,1.66970626531304,-3.68542853167393,0.000228318146997307,0.00699266315869274,"EBF2"
"KALRN",78.5071129455653,-6.15466462664958,1.66432427274181,-3.69799607411263,0.000217308249251254,0.00682399336554084,"KALRN"
"CPE",78.9446993260944,-6.16252193764074,1.65380337274731,-3.72627244519615,0.000194332351020459,0.00640704998657666,"CPE"
"MYL6",79.0270503820109,-6.16356989038145,1.64558294350595,-3.74552368490756,0.000180017861467941,0.0061240691718613,"MYL6"
"MAGI2",80.3859832893149,-6.18841710485505,1.6452127550072,-3.76146919966469,0.000168918224560848,0.00589769090621331,"MAGI2"
"NR2F2",80.9431515696836,-6.19892242605853,1.66060717433891,-3.73292523472707,0.000189268788831621,0.00632379097708767,"NR2F2"
"HNRNPA1",81.110859578199,-6.20187918501007,1.65259236170026,-3.75281849822257,0.000174857459231689,0.0060257697152115,"HNRNPA1"
"CRMP1",81.4668647932635,-6.20830504298313,1.65555165231001,-3.74999175309367,0.000176840386138667,0.00605478664024456,"CRMP1"
"RPL10A",82.1099656891276,-6.21981152303654,1.65581764528131,-3.75633847166778,0.000172417468273849,0.00598051963483212,"RPL10A"
"RPLP2",83.613996807232,-6.24623660216875,1.65731985827984,-3.76887815044455,0.000163982909584913,0.00576329338521281,"RPLP2"
"HMGB1",83.7948106962345,-6.2493705171235,1.65752501914466,-3.77030237549499,0.00016304987451546,0.00576329338521281,"HMGB1"
"NOVA1",84.8248467860468,-6.26698101475865,1.64970376035795,-3.79885235480026,0.000145367653981877,0.00524806897742736,"NOVA1"
"RPS5",85.4124000008788,-6.27721347896597,1.6571932895737,-3.78785837382961,0.000151951419411041,0.00541212203231138,"RPS5"
"PTMS",85.9788082502225,-6.28682969995134,1.65732317663965,-3.79336377392511,0.000148620181103717,0.00532923852106369,"PTMS"
"RPS9",86.9832578001379,-6.3036088337275,1.65176178560997,-3.81629414643449,0.000135470995983655,0.00492427791565246,"RPS9"
"FTX",87.3226014738714,-6.30919029634274,1.65160983237914,-3.8200246648171,0.000133438329688528,0.00488384286660011,"FTX"
"FAU",88.5385289712062,-6.3291434270579,1.64423752425892,-3.84928779064968,0.00011846176134137,0.00440965757767739,"FAU"
"SOX11",88.5466581805853,-6.32927039188222,1.64458711147611,-3.84854675542323,0.000118820620615765,0.00440965757767739,"SOX11"
"RPL7",89.1501209695243,-6.33940359415494,1.65088698567207,-3.83999852756377,0.000123035048290157,0.00453435417552684,"RPL7"
"RPS6",89.8040718442031,-6.34998136766987,1.64896917785161,-3.85087935721338,0.000117694469142204,0.00440965757767739,"RPS6"
"SUMO2",90.1725987931128,-6.35575581013058,1.64499894195636,-3.86368382861805,0.000111689768940228,0.00428873108527591,"SUMO2"
"YBX1",90.5288599809234,-6.36164992218313,1.64786631060131,-3.86053764268155,0.000113137808920035,0.00428873108527591,"YBX1"
"RPS16",91.2592296061488,-6.37339176508314,1.65037606907907,-3.86178149604384,0.000112563218425709,0.00428873108527591,"RPS16"
"ANK3",91.5083118573251,-6.37696965318859,1.64216934425666,-3.88325946741817,0.000103065483778086,0.00402182737066397,"ANK3"
"RPL37",91.9653714483122,-6.38432127363042,1.64230128860931,-3.88742389591414,0.000101313737487477,0.00398275559145214,"RPL37"
"ADGRL3",92.4302193795344,-6.39196532931014,1.65264583646216,-3.86771635415457,0.000109859344930607,0.00425564630326081,"ADGRL3"
"RPL14",94.7429605978939,-6.42749382398624,1.6401120777547,-3.9189357307736,8.89408244968328e-05,0.00361534467702324,"RPL14"
"PBX3",94.8013430992603,-6.42846866362871,1.64161053838559,-3.91595236099706,9.00480294501008e-05,0.00361534467702324,"PBX3"
"JPT1",95.101371611985,-6.43312153294451,1.64196309489139,-3.91794526500613,8.93069777059728e-05,0.00361534467702324,"JPT1"
"GNAS",96.555141462595,-6.45497756992735,1.63980080684432,-3.9364400499043,8.26992674710568e-05,0.00355070498266277,"GNAS"
"RPL21",97.2317233139825,-6.46547913978496,1.64518952095872,-3.92992968738171,8.4970705256863e-05,0.00355070498266277,"RPL21"
"CFL1",97.275625227013,-6.46624737143635,1.65143341324897,-3.91553623631418,9.02034947037349e-05,0.00361534467702324,"CFL1"
"CACNA2D1",97.3731418653194,-6.46754396622823,1.64360654643397,-3.93497092127094,8.32067697149489e-05,0.00355070498266277,"CACNA2D1"
"CTNNA2",97.4798937528596,-6.46911748288105,1.64477801403816,-3.93312497350233,8.38486151221097e-05,0.00355070498266277,"CTNNA2"
