"Gene","IN_2","IN_1","IN","nIN_1","nIN","nEN_1","nEN","IPC","MGE","RG"
"TPRG1L",-0.618614762165114,0.489594688398882,-1.01253560607653,0.0336130092219196,-1.84343918862061,0.391027283996795,0.0910065998226832,-0.357167741328353,-0.348176787216647,0.0341663380596514
"WRAP73",0.134793363104102,-0.130564108171553,-0.135437994666737,-0.218156349418382,-0.0929103077718136,-0.134352295141976,0.33265735481612,-0.3635062352862,0.0626765178745852,-0.0975386208983671
"TP73",-0.362119260096951,-0.404989137604861,-1.23793000304895,-1.22519830492411,0.241821273434849,-3.07107785859082,-0.0348600090319396,-2.00963467295081,0.198271074191236,0.0712025824483051
"LRRC47",0.298230694998939,0.282143866373382,0.522318577062366,0.0200483461823596,-0.523313713144002,0.0951369108990076,0.0901480594483243,0.205139450527974,0.14108578513905,0.0410718892893489
"CEP104",0.340944972458327,0.718737526217778,0.167953925261677,-1.30181402417338,-0.246694983899308,0.510089153720986,0.349900616698571,0.476068181475879,0.0275202632396562,0.373406621207008
"DFFB",0.13687564361715,0.354823983183138,-0.141731859230406,-2.87406602012695,-1.69473231233989,0.434967329342097,0.615372398986577,0.552317373020102,-0.0157507107899727,0.0429294292685574
"C1orf174",-0.18707050218677,0.574899582052508,-0.0552802989287722,0.39347763799424,-0.16895147363242,0.171408008736322,-0.0724257627299664,-0.843864602466893,-0.705417647306435,-0.197263947437826
"AJAP1",1.21753610797838,0.84543231303039,1.24190532001515,1.94044803522128,-1.34888978326397,-0.796693034919157,0.75124874766544,0.957778721911989,0.927482650966863,1.64671164693148
"NPHP4",0.134609997893918,0.0769773660560991,0.394735687886291,0.492002061165192,0.547144695130724,0.34347396444556,0.275046146243024,-0.410609477484547,-0.365276001130772,-0.0131201558539883
"KCNAB2",0.0369572681073794,0.282001145099483,-0.768539017707865,1.84341798370189,-2.93272579588161,-0.862954648880845,0.0241151838061729,-0.92768892107374,-0.198728100841485,0.212176927468953
"CHD5",0.713737121309871,-1.03459346485539,0.540592385320189,1.00831838581854,-0.634241364279084,0.155244369384974,0.405474755951684,0.380370917993311,0.181922762931407,1.00480717330846
"RPL22",-0.325452126618147,0.0497469410266215,-0.514721576936713,-0.319661015176355,-0.0380255284400066,-0.0952685451106723,-0.0725766856978295,-0.248178968151251,-0.370262474619032,-0.408210675937339
"ICMT",0.144727714217103,0.467936280101098,0.0545133941742123,0.020656604352063,0.849846519794252,-2.23137695369107,-0.651401259341976,0.0591192801518829,0.356117688002275,-0.133572336362818
"GPR153",-0.190613428820905,-0.452694386593193,0.354829914246553,0.323900691985547,-0.894087761680171,-0.198660407091524,-0.228024458773585,-0.536466671937373,1.09916221503041,0.0680018838078154
"ACOT7",0.0627137142207075,0.259672025554943,-0.430692348929088,0.175492612830294,0.817603153297724,0.196339176242424,-0.206254962436198,0.0894148512390722,0.750282874432588,-0.181105852012748
"TNFRSF25",0.0941898971804176,-0.331311335651126,0.243213992810356,-0.40723650453098,-2.32677032322411,0.448848363860082,-0.839922216827669,0.119759195675636,0.0877598867911239,0.272010496222589
