Gene	UniProtID	Name	GO_Term_ID	GO_Term_Name	Taxonomy_IDs	Taxonomy_Name
EDN1	UniProtKB:P05305	Endothelin-1	GO:0097492	sympathetic neuron axon guidance	GO:0120036|GO:0007275|GO:0032990|GO:0040011|GO:0120039|GO:0030030|GO:0007399|GO:0048812|GO:0048856|GO:0042330|GO:0007411|GO:0009653|GO:0022008|GO:0048699|GO:0097492|GO:0048858|GO:0097485|GO:0006935|GO:0032989|GO:0009605|GO:0007409|GO:0032502|GO:0050896|GO:0032501|GO:0008150|GO:0061564|GO:0000904|GO:0031175|GO:0030182|GO:0000902|GO:0042221|GO:0048667|GO:0048468|GO:0048666|GO:0009987|GO:0048869|GO:0048731|GO:0016043|GO:0030154|GO:0071840	plasma membrane bounded cell projection organization|multicellular organism development|cell part morphogenesis|locomotion|plasma membrane bounded cell projection morphogenesis|cell projection organization|nervous system development|neuron projection morphogenesis|anatomical structure development|taxis|axon guidance|anatomical structure morphogenesis|neurogenesis|generation of neurons|sympathetic neuron axon guidance|cell projection morphogenesis|neuron projection guidance|chemotaxis|cellular component morphogenesis|response to external stimulus|axonogenesis|developmental process|response to stimulus|multicellular organismal process|biological_process|axon development|cell morphogenesis involved in differentiation|neuron projection development|neuron differentiation|cell morphogenesis|response to chemical|cell morphogenesis involved in neuron differentiation|cell development|neuron development|cellular process|cellular developmental process|system development|cellular component organization|cell differentiation|cellular component organization or biogenesis
EDN1	UniProtKB:P05305	Endothelin-1	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	GO:0120036|GO:0120039|GO:0030030|GO:0042330|GO:0007411|GO:0022008|GO:0097485|GO:0050794|GO:0007409|GO:0065007|GO:0008150|GO:1902285|GO:0061564|GO:0000904|GO:0030182|GO:0000902|GO:1902287|GO:0042221|GO:0048731|GO:0023052|GO:0016043|GO:0071840|GO:0071526|GO:0007154|GO:0007275|GO:0032990|GO:0040011|GO:0007399|GO:0048812|GO:0048856|GO:0009653|GO:0048699|GO:0048858|GO:0006935|GO:0032989|GO:0009605|GO:0032502|GO:0050896|GO:0032501|GO:0031175|GO:0007165|GO:0007166|GO:0048667|GO:0048468|GO:0048666|GO:0009987|GO:0048869|GO:0030154|GO:0051716|GO:0050789	plasma membrane bounded cell projection organization|plasma membrane bounded cell projection morphogenesis|cell projection organization|taxis|axon guidance|neurogenesis|neuron projection guidance|regulation of cellular process|axonogenesis|biological regulation|biological_process|semaphorin-plexin signaling pathway involved in neuron projection guidance|axon development|cell morphogenesis involved in differentiation|neuron differentiation|cell morphogenesis|semaphorin-plexin signaling pathway involved in axon guidance|response to chemical|system development|signaling|cellular component organization|cellular component organization or biogenesis|semaphorin-plexin signaling pathway|cell communication|multicellular organism development|cell part morphogenesis|locomotion|nervous system development|neuron projection morphogenesis|anatomical structure development|anatomical structure morphogenesis|generation of neurons|cell projection morphogenesis|chemotaxis|cellular component morphogenesis|response to external stimulus|developmental process|response to stimulus|multicellular organismal process|neuron projection development|signal transduction|cell surface receptor signaling pathway|cell morphogenesis involved in neuron differentiation|cell development|neuron development|cellular process|cellular developmental process|cell differentiation|cellular response to stimulus|regulation of biological process
RDH13	UniProtKB:Q8NBN7	Retinol dehydrogenase 13	GO:0042462	eye photoreceptor cell development	GO:0007275|GO:0090596|GO:0007399|GO:0048856|GO:0009653|GO:0022008|GO:0048513|GO:0048699|GO:0048880|GO:0042461|GO:0032502|GO:0032501|GO:0008150|GO:0030182|GO:0042462|GO:0048468|GO:0048666|GO:0048869|GO:0009987|GO:0007423|GO:0009887|GO:0001654|GO:0048592|GO:0001754|GO:0046530|GO:0048731|GO:0150063|GO:0030154	multicellular organism development|sensory organ morphogenesis|nervous system development|anatomical structure development|anatomical structure morphogenesis|neurogenesis|animal organ development|generation of neurons|sensory system development|photoreceptor cell development|developmental process|multicellular organismal process|biological_process|neuron differentiation|eye photoreceptor cell development|cell development|neuron development|cellular developmental process|cellular process|sensory organ development|animal organ morphogenesis|eye development|eye morphogenesis|eye photoreceptor cell differentiation|photoreceptor cell differentiation|system development|visual system development|cell differentiation
TAOK3	UniProtKB:Q9H2K8	Serine/threonine-protein kinase TAO3	GO:0048812	neuron projection morphogenesis	GO:0120036|GO:0007275|GO:0120039|GO:0032990|GO:0030030|GO:0048812|GO:0007399|GO:0048856|GO:0009653|GO:0022008|GO:0048699|GO:0048858|GO:0032989|GO:0032502|GO:0032501|GO:0008150|GO:0030182|GO:0031175|GO:0000902|GO:0048468|GO:0048666|GO:0048869|GO:0009987|GO:0048731|GO:0016043|GO:0030154|GO:0071840	plasma membrane bounded cell projection organization|multicellular organism development|plasma membrane bounded cell projection morphogenesis|cell part morphogenesis|cell projection organization|neuron projection morphogenesis|nervous system development|anatomical structure development|anatomical structure morphogenesis|neurogenesis|generation of neurons|cell projection morphogenesis|cellular component morphogenesis|developmental process|multicellular organismal process|biological_process|neuron differentiation|neuron projection development|cell morphogenesis|cell development|neuron development|cellular developmental process|cellular process|system development|cellular component organization|cell differentiation|cellular component organization or biogenesis
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0021799	cerebral cortex radially oriented cell migration	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0021885|GO:0048856|GO:0007399|GO:0022029|GO:0021799|GO:0048513|GO:0021987|GO:0007420|GO:0021795|GO:0009987|GO:0021543|GO:0048870|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0016477|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|forebrain cell migration|anatomical structure development|nervous system development|telencephalon cell migration|cerebral cortex radially oriented cell migration|animal organ development|cerebral cortex development|brain development|cerebral cortex cell migration|cellular process|pallium development|cell motility|central nervous system development|forebrain development|system development|developmental process|cell migration|multicellular organismal process
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0021869	forebrain ventricular zone progenitor cell division	GO:0008283|GO:0008150|GO:0060322|GO:0021846|GO:0007275|GO:0021869|GO:0061351|GO:0007399|GO:0048856|GO:0048513|GO:0007420|GO:0009987|GO:0051301|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	cell population proliferation|biological_process|head development|cell proliferation in forebrain|multicellular organism development|forebrain ventricular zone progenitor cell division|neural precursor cell proliferation|nervous system development|anatomical structure development|animal organ development|brain development|cellular process|cell division|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0021897	forebrain astrocyte development	GO:0008150|GO:0048708|GO:0014002|GO:0060322|GO:0007275|GO:0007399|GO:0048856|GO:0021896|GO:0021897|GO:0022008|GO:0048513|GO:0048468|GO:0007420|GO:0021782|GO:0048869|GO:0009987|GO:0030900|GO:0007417|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0010001|GO:0032501	biological_process|astrocyte differentiation|astrocyte development|head development|multicellular organism development|nervous system development|anatomical structure development|forebrain astrocyte differentiation|forebrain astrocyte development|neurogenesis|animal organ development|cell development|brain development|glial cell development|cellular developmental process|cellular process|forebrain development|central nervous system development|system development|gliogenesis|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0021979	hypothalamus cell differentiation	GO:0008150|GO:0060322|GO:0007275|GO:0021979|GO:0048856|GO:0007399|GO:0021854|GO:0048513|GO:0021536|GO:0007420|GO:0021761|GO:0048869|GO:0009987|GO:0007417|GO:0030900|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|hypothalamus cell differentiation|anatomical structure development|nervous system development|hypothalamus development|animal organ development|diencephalon development|brain development|limbic system development|cellular developmental process|cellular process|central nervous system development|forebrain development|system development|cell differentiation|developmental process|multicellular organismal process
POU3F2	UniProtKB:P20265	"POU domain, class 3, transcription factor 2"	GO:0021985	neurohypophysis development	GO:0008150|GO:0060322|GO:0007275|GO:0048856|GO:0007399|GO:0021985|GO:0048513|GO:0048732|GO:0021536|GO:0035270|GO:0007420|GO:0021983|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|anatomical structure development|nervous system development|neurohypophysis development|animal organ development|gland development|diencephalon development|endocrine system development|brain development|pituitary gland development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
