TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
YBX1,RPL27,163.10480161884487,GeneralTF,-0.1048253496486187,None,-0.2112407935093885
YBX1,RPS7,162.75271457115048,GeneralTF,-0.1048253496486187,NeuroDev,-0.41925054346889484
YBX1,RACK1,162.47951154745243,GeneralTF,-0.1048253496486187,None,-0.20549001922942217
RPL6,NPM1,161.20180075845013,GeneralTF,-0.27235618326369987,None,-0.22400930409316794
YBX1,RPS2,159.96187010634856,GeneralTF,-0.1048253496486187,None,-0.35290085573799557
YBX1,GAPDH,159.80874855890715,GeneralTF,-0.1048253496486187,None,-0.3061289218529374
RPL6,EIF3E,159.02266728053843,GeneralTF,-0.27235618326369987,None,-0.25330673972280776
YBX1,RPL10,157.3294978723358,GeneralTF,-0.1048253496486187,NeuroDisease,-0.26554263475449563
YBX1,RPL11,155.4210923384376,GeneralTF,-0.1048253496486187,None,-0.267887783342614
YBX1,OAZ1,153.77273324199965,GeneralTF,-0.1048253496486187,None,-0.33472977990458935
YBX1,RPS3A,146.78875085010665,GeneralTF,-0.1048253496486187,None,-0.3151553146720041
RPL6,EEF1B2,146.26452448499532,GeneralTF,-0.27235618326369987,NeuroDisease,-0.3719365214330738
RPL6,ST13,144.7737639208413,GeneralTF,-0.27235618326369987,None,-0.3127861406728298
RPL6,OAZ1,144.65122394294715,GeneralTF,-0.27235618326369987,None,-0.33472977990458935
YBX1,RPL12,142.90399426378605,GeneralTF,-0.1048253496486187,None,-0.4007171677746609
YBX1,SOD1,142.53530045736758,GeneralTF,-0.1048253496486187,HSA21TF,0.4228640436619747
YBX1,LSM4,142.02863350504526,GeneralTF,-0.1048253496486187,None,-0.2017986122061865
YBX1,RPS9,141.04078446825392,GeneralTF,-0.1048253496486187,None,-0.30860847423596854
YBX1,RPLP0,140.9225464642807,GeneralTF,-0.1048253496486187,None,-0.21030812571277044
YBX1,EEF1B2,140.10014676944556,GeneralTF,-0.1048253496486187,NeuroDisease,-0.3719365214330738
YBX1,RPL8,138.74605639035283,GeneralTF,-0.1048253496486187,None,-0.33860848134827165
YBX1,RPS3,138.4778838419939,GeneralTF,-0.1048253496486187,None,-0.32164595440768073
YBX1,DYNLL1,137.40088305849653,GeneralTF,-0.1048253496486187,NeuroDev,-0.39177040745857267
RPL6,EIF3L,136.72519678683793,GeneralTF,-0.27235618326369987,None,-0.20026755356008302
