TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
CELF4,RBFOX2,69.52909350210125,NeuroDisease,0.16357286576412958,NeuroDev,0.13426450174246582
RBFOX2,SCN3A,69.50595747539282,NeuroDev,0.13426450174246582,NeuroDisease,0.39067539084946473
RBFOX2,ANK2,69.23804215532545,NeuroDev,0.13426450174246582,NeuroDisease,0.3210528622015837
RBFOX2,CACNA1C,69.09315437743516,NeuroDev,0.13426450174246582,NeuroDisease,0.12931453675792187
RBFOX2,RNF24,68.88490099987727,NeuroDev,0.13426450174246582,None,0.109523622448004
RBFOX2,ERC2,68.87150340182883,NeuroDev,0.13426450174246582,None,-0.046331276649659005
RBFOX2,NRXN1,68.78443298210976,NeuroDev,0.13426450174246582,NeuroDisease,0.29866272314846054
CELF4,ATP1A3,68.63380771523008,NeuroDisease,0.16357286576412958,NeuroDisease,0.21235174138093676
RBFOX2,GAP43,68.48202537035431,NeuroDev,0.13426450174246582,NeuroDev,0.14708091513691263
RBFOX2,RTN3,67.41904673937644,NeuroDev,0.13426450174246582,NeuroDev,0.25845574162587603
RBFOX2,NMNAT2,67.3942812618,NeuroDev,0.13426450174246582,None,0.6992336640821654
CELF4,SCN3A,67.36111789284976,NeuroDisease,0.16357286576412958,NeuroDisease,0.39067539084946473
CELF4,ANKS1B,67.20558196693234,NeuroDisease,0.16357286576412958,NeuroDisease,0.39638291938902925
RBFOX2,DAAM1,67.15562293534391,NeuroDev,0.13426450174246582,None,0.09577663667303724
RBFOX2,PTPRO,66.40194290051215,NeuroDev,0.13426450174246582,NeuroDev,0.4131138400390838
CELF4,PGM2L1,66.24713505571212,NeuroDisease,0.16357286576412958,None,0.2672668660112224
RBFOX2,RAB3C,65.75853950481188,NeuroDev,0.13426450174246582,None,0.3593213067882184
CELF4,RASGRF1,65.4923832069494,NeuroDisease,0.16357286576412958,NeuroDev,0.2452806303311738
CELF4,SEZ6L,65.16496246856764,NeuroDisease,0.16357286576412958,NeuroDev,0.722864243727134
RBFOX2,DNM3,64.89576329293163,NeuroDev,0.13426450174246582,NeuroDev,0.9799478754150173
CELF4,DOK6,64.72912093862298,NeuroDisease,0.16357286576412958,None,-0.02539752100863781
CELF4,RAB3C,64.57514502277733,NeuroDisease,0.16357286576412958,None,0.3593213067882184
RBFOX2,TNRC6B,64.24641558903532,NeuroDev,0.13426450174246582,NeuroDisease,0.14411978039675294
RBFOX2,SCN3B,63.95746883199333,NeuroDev,0.13426450174246582,NeuroDev,0.5931161861489287
CELF4,KSR2,63.64762735736648,NeuroDisease,0.16357286576412958,None,0.5162964319007365
CELF4,MTMR7,63.59785546604915,NeuroDisease,0.16357286576412958,None,0.16229854265239405
RBFOX2,STXBP5L,63.49491885727569,NeuroDev,0.13426450174246582,None,0.11332060792132422
CELF4,KIFAP3,63.40087297476848,NeuroDisease,0.16357286576412958,NeuroDev,0.37753274013042726
