name,shared name,type,avgExpression
PRKACB,PRKACB,NeuroDisease,0.18581948154941
TTC3,TTC3,HSA21gene,0.609639247666598
RASAL2,RASAL2,None,0.494354414823445
LRRN3,LRRN3,None,0.327508202709205
PHACTR3,PHACTR3,None,0.980237423386036
APBA1,APBA1,NeuroDev,0.343814710289443
FGF12,FGF12,NeuroDisease,0.63526043654428
DPYSL2,DPYSL2,NeuroDisease,0.240987514514516
TAOK3,TAOK3,NeuroDev,0.317042354066985
CSMD1,CSMD1,None,-0.283887633436625
MED13L,MED13L,NeuroDisease,0.21280086483982
HDGFL3,HDGFL3,NeuroDev,0.0165798980994105
ASIC2,ASIC2,NeuroDev,0.278038451863015
TTLL7,TTLL7,NeuroDev,0.0363842521093412
CELF3,CELF3,None,0.320226751925042
DOCK4,DOCK4,None,0.223175414950627
CAMK1D,CAMK1D,NeuroDev,0.142539426553613
KCNJ6,KCNJ6,HSA21gene,1.03621180288337
SCAI,SCAI,None,0.124222889741717
NEBL,NEBL,None,-0.443594564683429
MACO1,MACO1,NeuroDev,0.172724133445862
ACTL6B,ACTL6B,NeuroDisease,0.356935089929001
HECTD4,HECTD4,NeuroDisease,0.235189744373565
ITSN1,ITSN1,HSA21gene,0.519088229593054
PAK5,PAK5,None,0.352835021445958
ZSWIM5,ZSWIM5,None,0.280054797141106
SCAMP5,SCAMP5,None,0.207467357585706
KALRN,KALRN,NeuroDev,0.255404411990198
GNAO1,GNAO1,NeuroDisease,0.358822436030648
FXYD7,FXYD7,None,0.233499645253343
PTPRG,PTPRG,NeuroDev,-0.271329259247632
ZNF804A,ZNF804A,None,0.397099604769949
TERF2IP,TERF2IP,None,0.0890888864573194
KCNMB2,KCNMB2,None,-0.558941706947236
SNX32,SNX32,None,0.51648380257061
SERINC1,SERINC1,None,0.200870848331278
MAP7,MAP7,None,0.0088276848973867
KMT2E,KMT2E,NeuroDisease,0.161368262916145
BRINP1,BRINP1,NeuroDev,0.361736693184158
EPHB1,EPHB1,NeuroDev,0.230049489886315
SLC24A3,SLC24A3,None,0.439950009908965
LINGO1,LINGO1,NeuroDisease,0.192299388891855
INA,INA,NeuroDev,0.423809541676499
LARGE1,LARGE1,NeuroDisease,-0.0117892416310025
CCDC3,CCDC3,None,0.264160490426549
DLG2,DLG2,None,0.428690821918005
AC027288.3,AC027288.3,None,-0.63454273070696
SENP7,SENP7,None,0.086997548374725
CALN1,CALN1,None,0.343939509752993
AC097716.1,AC097716.1,None,0.579564629010379
KIRREL3,KIRREL3,NeuroDev,0.637141159005225
APLP1,APLP1,NeuroDev,0.177614710026297
