name,shared name,type,avgExpression
OARD1,OARD1,None,-0.618263140864257
FAM89B,FAM89B,None,-0.10113388185842
RTN1,RTN1,NeuroDev,0.592684927837128
PFKL,PFKL,HSA21gene,0.46200769889622
DCTPP1,DCTPP1,None,-0.511630384091747
CNN2,CNN2,None,-0.21487776699533
GET1,GET1,HSA21gene,0.532483294919108
NR2F2,NR2F2,NeuroDev,-0.647889433663667
ATRAID,ATRAID,None,-0.447423430197902
PEA15,PEA15,None,0.459268757226223
PCBP4,PCBP4,None,-0.0030005038833765
SOX11,SOX11,NeuroDisease,0.236587078663327
ARL8A,ARL8A,None,0.437074467992622
MSMO1,MSMO1,None,0.290799726886079
TMEM128,TMEM128,None,-0.242795400185023
TTC9B,TTC9B,None,0.286627747438939
FAM92A,FAM92A,None,-0.264185744620961
SON,SON,HSA21gene,0.559122057430528
MICOS13,MICOS13,NeuroDisease,-0.281042473046158
ANLN,ANLN,None,0.188478218134567
HSPA13,HSPA13,HSA21gene,0.654920842590072
ADGRG1,ADGRG1,NeuroDisease,0.0227863409516024
HPF1,HPF1,None,-0.226820190952378
