"","res_list.IN_2.log2FoldChange","res_list.IN_1.log2FoldChange","res_list.IN.log2FoldChange","res_list.nIN_1.log2FoldChange","res_list.nIN.log2FoldChange","res_list.nEN_1.log2FoldChange","res_list.nEN.log2FoldChange","res_list.IPC.log2FoldChange","res_list.MGE.log2FoldChange","res_list.RG.log2FoldChange","Mean"
"CAMTA1",-0.16983224325114,-0.00807372301990933,-0.146451439860025,0.27673109045549,0.0874356189488482,-0.0911746198762493,-0.0498038752391265,-0.157681828792317,-0.339173839354289,-0.221074929913536,-0.0819099789902253
"AL512330.1",-0.110905500713963,-0.845831748792259,-0.443371521700963,0.438416689732557,0.757422680523527,-1.60232222103467,-0.794784758444636,-0.783983677157345,-0.625498405709009,-0.930379077442403,-0.494123754073917
"VAMP3",0.0929424731405795,-0.277562300922717,0.0283492698323182,-0.963801096813255,0.316683759680699,0.925880459004778,0.0293046202301745,-0.153665133478222,0.0278466847338313,-0.00612170996977302,0.00198570254384143
"PER3",0.869659939612802,0.358815304604826,0.00445819695395034,2.76555861942237,0.27978943954839,0.200789329258868,-0.28210247809236,0.0252538693678699,0.194934599671627,-0.347869180989889,0.406928763935846
"PARK7",0.118778317171877,-0.0121475804718204,0.145626783659304,0.171608354598955,-0.00487174340058212,0.194937404310506,0.236898040321623,-0.016474520639571,0.137160260277985,0.245775733036162,0.121729104886444
"ERRFI1",0.429806269186828,-0.166529411024247,-0.131148078772992,0.000409794951130596,0.197392881978066,-0.613388377551344,-0.466503518820488,-0.441517623431855,0.167181948523601,-0.0493039161247259,-0.107360003108602
"SLC45A1",0.137002634568301,0.143037255417663,-0.258353565733243,-0.796618429206319,0.828802676053067,0.198320827656507,0.416360192112579,-0.612062273479264,0.0508258656446251,-0.41550148945808,-0.0308186306424163
"RERE",-0.14673035336347,-0.466343758004627,0.0666116447337805,0.52092991968472,0.0831439466238354,0.00377153408212804,-0.2068942607777,-0.169547753246921,-0.315997087559921,-0.174066000506686,-0.0805122168334861
"RERE-AS1",-0.411329565404619,-0.024895948719693,0.139088291794631,0.418331172787752,-0.0388293692246895,-0.331571189059906,0.122905808504579,0.35138675796878,-0.355254957231927,0.170398202372714,0.00402292037876207
"ENO1",0.907555693833612,0.502641727259285,0.617737358237876,0.288182910579512,0.498849730971337,0.0838928220590386,0.189717079329157,0.676747603453394,0.812933500520946,0.557612197528286,0.513587062377244
"MIR34AHG",0.540547492696404,0.459835551050214,-0.808024825849748,1.4716021924239,0.118934389869544,1.47244926983821,-0.598609712796245,0.412765876623084,0.759933686381447,0.345208241594043,0.417464216183085
"LNCTAM34A",0.0349825342806915,-0.21258985733395,0.36033494326854,1.75032581867772,0.332461400446961,2.52399956188111,0.264501207078386,-0.270935480403487,1.04844060746946,0.519558498024456,0.635107923338988
"H6PD",-0.157115053964409,-0.199070963194497,1.1136822621697,1.58588658071365,-0.0164998327761242,1.9116980309981,0.795874816672994,-0.066462882260923,0.435958431089417,-0.0753147204178094,0.532863666903009
"SLC25A33",-0.474836067328116,-0.0394286038572715,0.699941800590897,-0.218584055290924,-0.0973950606517339,-0.230409892682595,0.242939558566384,-0.0155293773413713,0.340999550126364,0.107126388509449,0.0314824240641083
