name,shared name,type,avgExpression
GNAI3,GNAI3,NeuroDev,-0.08104959367426
ZNF532,ZNF532,GeneralTF,0.26451111799501
ELAVL4,ELAVL4,NeuroDev,0.574464258082109
RMST,RMST,None,-0.851435818391929
GLI3,GLI3,NeuroDisease,-0.769269493553642
TMEM161B-AS1,TMEM161B-AS1,None,-0.0970716503665026
EMX2OS,EMX2OS,None,-2.20608093854709
EMX2,EMX2,NeuroDisease,-2.12188265128313
PAUPAR,PAUPAR,None,-0.505932336539509
RFTN2,RFTN2,None,0.568763788570628
ATRNL1,ATRNL1,None,0.0460616138724199
ID3,ID3,NeuroDev,-2.01152545492935
SEMA6A,SEMA6A,NeuroDev,-0.675960850125933
SLC17A6,SLC17A6,None,-1.71067993657611
DLX6-AS1,DLX6-AS1,None,1.01577705407659
SEMA3E,SEMA3E,NeuroDev,-1.32089668812767
FAT3,FAT3,NeuroDev,-0.622089473585804
JARID2,JARID2,NeuroDisease,0.034954579039265
SNAP25,SNAP25,NeuroDisease,0.145239247727199
SOX2-OT,SOX2-OT,None,0.376366607967984
B3GAT2,B3GAT2,None,-0.591298156128085
LSAMP,LSAMP,NeuroDev,0.21447432681609
PCDH9,PCDH9,None,-0.584046168918229
TPBG,TPBG,NeuroDev,-0.317384346855968
HMGN3,HMGN3,GeneralTF,-0.264967749187156
MAP2,MAP2,NeuroDev,0.092874534183253
PRKG1,PRKG1,NeuroDev,-0.215496984705691
WWC3,WWC3,None,0.12099734613494
ABCA1,ABCA1,None,0.415081691677505
MIR181A1HG,MIR181A1HG,None,0.796747311373266
PBRM1,PBRM1,None,0.103294531906365
THSD4-AS1,THSD4-AS1,None,-0.0490772651561958
MOB3B,MOB3B,None,-0.391523667438592
SORCS3,SORCS3,None,0.703903689958885
PALMD,PALMD,None,0.868465368534868
DENND1A,DENND1A,None,-0.319184923007512
CASK,CASK,NeuroDisease,0.698080338619097
KCNB2,KCNB2,None,-0.0288190783132671
DENND4C,DENND4C,None,0.0930650243858886
SOGA3,SOGA3,None,0.245523935651395
STX6,STX6,None,0.280822537740594
RBMS3,RBMS3,None,-0.495939497901379
ADCY2,ADCY2,None,-0.930573497625394
ZBTB20,ZBTB20,NeuroDisease,0.580962596823286
FAM189A2,FAM189A2,None,1.52227688047792
SCRG1,SCRG1,NeuroDev,1.35551442598644
ZNF704,ZNF704,GeneralTF,0.271704933759333
EDIL3,EDIL3,None,-0.851447752540609
ERBB4,ERBB4,NeuroDev,-0.771407502193428
SLC24A3,SLC24A3,None,0.439950009908965
CTNND1,CTNND1,NeuroDisease,0.137032707591758
ZMAT4,ZMAT4,GeneralTF,-1.0030342854437
CACHD1,CACHD1,None,-0.867442384031716
ASTN2,ASTN2,NeuroDev,0.0801378273523719
PLCH1,PLCH1,None,-0.572745712863356
PITPNC1,PITPNC1,None,0.433841944727024
ZC4H2,ZC4H2,NeuroDisease,0.15921360057276
SNX27,SNX27,NeuroDisease,0.394065398863055
GAB2,GAB2,None,-0.0523419229951921
AKT3,AKT3,NeuroDisease,0.196362179328394
PTPRD,PTPRD,NeuroDev,-0.381420108400163
CORO2B,CORO2B,None,0.302271782393503
ITGA2,ITGA2,None,-0.945826919494685
APP,APP,HSA21gene,0.696731563295763
PDE1A,PDE1A,None,-0.504511031169169
RIMS3,RIMS3,None,0.159942956673144
ST18,ST18,None,-0.454649613355753
MYT1,MYT1,NeuroDev,0.0888562760535858
ACOT12,ACOT12,None,-0.520335504463082
OPHN1,OPHN1,NeuroDisease,0.31257029150136
MAGI3,MAGI3,None,0.0402303690191985
TNC,TNC,NeuroDev,1.24960575547625
SYNPR,SYNPR,None,0.756047885476363
RASAL2,RASAL2,None,0.494354414823445
BHLHE22,BHLHE22,GeneralTF,-1.46956032910659
PLEKHG1,PLEKHG1,None,-0.581828031424961
SDK2,SDK2,NeuroDev,-0.153515395779854
LYPD6B,LYPD6B,None,-0.729594408143194
RND3,RND3,None,0.413741881672681
NOL4,NOL4,None,0.232161890407063
SETBP1,SETBP1,NeuroDisease,0.0552895938513786
VEPH1,VEPH1,None,-0.393061054397689
RSPO3,RSPO3,None,-3.17009884014841
GPR39,GPR39,None,0.106038551523148
RAB11FIP2,RAB11FIP2,None,-0.621418724292434
FGF12,FGF12,NeuroDisease,0.63526043654428
HDAC9,HDAC9,NeuroDev,-0.422524289118698
CEP126,CEP126,None,-0.740561868466653
MEX3C,MEX3C,GeneralTF,0.127991216548759
ENO4,ENO4,None,0.656267475093941
NRXN1,NRXN1,NeuroDisease,0.279066183753569
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
ELP4,ELP4,None,-0.0459181745080646
PKN2,PKN2,None,-0.21349201754393
SEMA3A,SEMA3A,NeuroDev,0.0772356455260373
DGKI,DGKI,None,0.518601240438244
NR2F2-AS1,NR2F2-AS1,None,-0.980967483231473
ANKS1B,ANKS1B,NeuroDisease,0.40531854767842
PTGFRN,PTGFRN,None,0.340378811742057
TCAF1,TCAF1,None,0.0633318956281625
LRRN3,LRRN3,None,0.327508202709205
CSRP2,CSRP2,None,-0.311962514472498
ST8SIA2,ST8SIA2,NeuroDev,0.279490019073304
FAT4,FAT4,NeuroDisease,-0.440114464967095
WRN,WRN,NeuroDev,0.0883973687177243
PAM,PAM,NeuroDev,-0.386463648296634
TFAP2C,TFAP2C,GeneralTF,-1.47974648001346
RBMS1,RBMS1,GeneralTF,-1.14963384671978
SHB,SHB,None,0.475562363425777
LTBP1,LTBP1,None,-0.570549189160991
KIAA0408,KIAA0408,None,0.269944048724422
RNF24,RNF24,None,0.106203937264384
MYO1E,MYO1E,None,-2.39710832603989
NDST3,NDST3,None,-0.970943977743601
IPO9,IPO9,None,0.400549693037685
HEY2,HEY2,GeneralTF,-2.27877192338348
MDGA2,MDGA2,NeuroDev,0.154390352837278
GNG4,GNG4,None,0.426857281071117
TIAM1,TIAM1,HSA21gene,0.749437566349536
SYNDIG1,SYNDIG1,None,0.251861276848297
NEBL,NEBL,None,-0.443594564683429
FRMD4B,FRMD4B,None,-0.0316215489921418
KCNQ3,KCNQ3,NeuroDisease,-0.0001763865024659
