source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
JAK2,IFNGR2,True,True,False,False,False,False,3,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330,HPRD;Macrophage;PhosphoPoint;SIGNOR,post_translational,23898330;7514165;7901766,3,4,4
IFNGR2,JAK2,True,True,False,True,True,False,5,HPRD:7514165;Macrophage:7901766;SIGNOR:23898330;SignaLink3:16381926;SignaLink3:23331499,HPRD;Macrophage;SIGNOR;SignaLink3;Wang,post_translational,16381926;23331499;23898330;7514165;7901766,5,5,5
GSK3B,SMAD3,True,True,True,True,True,False,11,BioGRID:21310903;ProtMapper:18172167;ProtMapper:19002158;ProtMapper:19114991;ProtMapper:23077590;ProtMapper:28756206;SIGNOR:18172167;SignaLink3:18172167;SignaLink3:21071413;SignaLink3:23331499;iPTMnet:18172167,BioGRID;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SignaLink3;Sparser_ProtMapper;iPTMnet,post_translational,18172167;19002158;19114991;21071413;21310903;23077590;23331499;28756206,8,9,5
MAPK3,MYC,True,True,False,True,True,False,9,HPRD:9155018;InnateDB:15210690;SIGNOR:32482868;SignaLink3:15210690;SignaLink3:18463697;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9155018,BEL-Large-Corpus_ProtMapper;HPRD;InnateDB;KEGG-MEDICUS;PhosphoPoint;ProtMapper;SIGNOR;SignaLink3;Wang,post_translational,15210690;18463697;18988627;21071413;23331499;32482868;9155018,7,9,8
SMAD3,AR,True,True,True,True,True,False,11,HPRD:11280774;Lit-BM-17:11280774;Lit-BM-17:11707452;Lit-BM-17:12226080;NetPath:11248024;NetPath:11280774;SignaLink3:11248024;SignaLink3:11280774;SignaLink3:11707452;SignaLink3:12226080;SignaLink3:23331499,HPRD;Lit-BM-17;NetPath;SignaLink3;Wang,post_translational,11248024;11280774;11707452;12226080;23331499,5,5,5
NR3C1,SMAD3,True,True,False,True,True,False,4,HPRD:10518526;HPRD:12902338;SignaLink3:12902338;SignaLink3:23331499,HPRD;SignaLink3;Wang,post_translational,10518526;12902338;23331499,3,3,3
NUP153,SMAD3,True,True,False,True,True,False,4,HPRD:12917407;NetPath:12917407;SignaLink3:12917407;SignaLink3:23331499,HPRD;NetPath;SignaLink3;Wang,post_translational,12917407;23331499,2,4,4
NR3C1,AR,True,True,True,True,True,False,5,HPRD:9162033;NetPath:9162033;SIGNOR:9162033;SignaLink3:23331499;SignaLink3:9162033,HPRD;NetPath;SIGNOR;SignaLink3;Wang,post_translational,23331499;9162033,2,5,5
AR,NR3C1,True,True,True,True,True,False,5,HPRD:9162033;NetPath:9162033;SIGNOR:9162033;SignaLink3:23331499;SignaLink3:9162033,HPRD;NetPath;SIGNOR;SignaLink3;Wang,post_translational,23331499;9162033,2,5,5
RARA,NRIP1,True,True,False,True,True,False,19,HPRD:10531331;HPRD:12549917;HPRD:16713569;IntAct:17641689;IntAct:25416956;LMPID:11078741;LMPID:16990259;LMPID:9192902;Lit-BM-17:10082574;Lit-BM-17:12503607;Lit-BM-17:12549917;Lit-BM-17:14581481;Lit-BM-17:17641689;Lit-BM-17:8887632;SignaLink3:10082574;SignaLink3:10531331;SignaLink3:12549917;SignaLink3:16713569;SignaLink3:23331499,HPRD;IntAct;LMPID;Lit-BM-17;SignaLink3;Wang,post_translational,10082574;10531331;11078741;12503607;12549917;14581481;16713569;16990259;17641689;23331499;25416956;8887632;9192902,13,6,6
NRIP1,RARA,True,True,False,True,True,False,19,HPRD:10531331;HPRD:12549917;HPRD:16713569;IntAct:17641689;IntAct:25416956;LMPID:11078741;LMPID:16990259;LMPID:9192902;Lit-BM-17:10082574;Lit-BM-17:12503607;Lit-BM-17:12549917;Lit-BM-17:14581481;Lit-BM-17:17641689;Lit-BM-17:8887632;SignaLink3:12503607;SignaLink3:12549917;SignaLink3:14581481;SignaLink3:23331499;SignaLink3:8887632,HPRD;IntAct;LMPID;Lit-BM-17;SignaLink3;Wang,post_translational,10082574;10531331;11078741;12503607;12549917;14581481;16713569;16990259;17641689;23331499;25416956;8887632;9192902,13,6,6
